conflict_id         , pair          , content_class, style_class, content_id, style_id, alpha, resnet50_prediction, resnet50_decision, vit_b_16_prediction, vit_b_16_decision, clip_vit_b_32_prediction, clip_vit_b_32_decision, clip_vit_b_32_zero_shot_prediction, clip_vit_b_32_zero_shot_decision
c1_s3_0003_3388_3375, bird__cat     , bird         , cat        ,       3388,     3375,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s3_0004_5425_897 , bird__cat     , bird         , cat        ,       5425,      897,   0.7, dog                , other            , airplane           , other            , bird                    , shape                 , bird                              , shape
c1_s3_0005_3223_2785, bird__cat     , bird         , cat        ,       3223,     2785,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s3_0006_1081_1563, bird__cat     , bird         , cat        ,       1081,     1563,   0.7, bird               , shape            , bird               , shape            , cat                     , texture               , deer                              , other
c1_s3_0007_6068_6459, bird__cat     , bird         , cat        ,       6068,     6459,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s3_0008_1491_6094, bird__cat     , bird         , cat        ,       1491,     6094,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s3_0009_1353_1531, bird__cat     , bird         , cat        ,       1353,     1531,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s3_0010_4709_1622, bird__cat     , bird         , cat        ,       4709,     1622,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s3_0011_5830_6385, bird__cat     , bird         , cat        ,       5830,     6385,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s3_0013_5394_5294, bird__cat     , bird         , cat        ,       5394,     5294,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s3_0014_4361_6632, bird__cat     , bird         , cat        ,       4361,     6632,   0.7, ship               , other            , bird               , shape            , airplane                , other                 , airplane                          , other
c1_s3_0015_5122_1968, bird__cat     , bird         , cat        ,       5122,     1968,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s3_0016_3161_1968, bird__cat     , bird         , cat        ,       3161,     1968,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s3_0019_7066_874 , bird__cat     , bird         , cat        ,       7066,      874,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s3_0020_3144_4184, bird__cat     , bird         , cat        ,       3144,     4184,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s3_0021_2988_3202, bird__cat     , bird         , cat        ,       2988,     3202,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s3_0022_6022_6575, bird__cat     , bird         , cat        ,       6022,     6575,   0.7, bird               , shape            , bird               , shape            , bird                    , shape                 , bird                              , shape
c1_s3_0024_6498_6324, bird__cat     , bird         , cat        ,       6498,     6324,   0.7, deer               , other            , bird               , shape            , bird                    , shape                 , bird                              , shape
c3_s1_0000_1563_6938, bird__cat     , cat          , bird       ,       1563,     6938,   0.7, monkey             , other            , cat                , shape            , monkey                  , other                 , monkey                            , other
c3_s1_0001_3202_6938, bird__cat     , cat          , bird       ,       3202,     6938,   0.7, cat                , shape            , cat                , shape            , cat                     , shape                 , cat                               , shape
c3_s1_0002_5522_6498, bird__cat     , cat          , bird       ,       5522,     6498,   0.7, cat                , shape            , cat                , shape            , cat                     , shape                 , cat                               , shape
c3_s1_0004_589_1302 , bird__cat     , cat          , bird       ,        589,     1302,   0.7, bird               , texture          , cat                , shape            , bird                    , texture               , bird                              , texture
c3_s1_0006_6385_2988, bird__cat     , cat          , bird       ,       6385,     2988,   0.7, cat                , shape            , cat                , shape            , cat                     , shape                 , cat                               , shape
c3_s1_0007_4858_6498, bird__cat     , cat          , bird       ,       4858,     6498,   0.7, cat                , shape            , cat                , shape            , cat                     , shape                 , cat                               , shape
c3_s1_0008_6324_1302, bird__cat     , cat          , bird       ,       6324,     1302,   0.7, cat                , shape            , cat                , shape            , cat                     , shape                 , deer                              , other
c3_s1_0009_6826_6498, bird__cat     , cat          , bird       ,       6826,     6498,   0.7, cat                , shape            , cat                , shape            , horse                   , other                 , horse                             , other
c3_s1_0010_2785_6068, bird__cat     , cat          , bird       ,       2785,     6068,   0.7, horse              , other            , dog                , other            , cat                     , shape                 , cat                               , shape
c3_s1_0011_3375_225 , bird__cat     , cat          , bird       ,       3375,      225,   0.7, cat                , shape            , cat                , shape            , cat                     , shape                 , dog                               , other
c3_s1_0012_4856_6880, bird__cat     , cat          , bird       ,       4856,     6880,   0.7, deer               , other            , cat                , shape            , cat                     , shape                 , deer                              , other
c3_s1_0013_5294_4733, bird__cat     , cat          , bird       ,       5294,     4733,   0.7, cat                , shape            , monkey             , other            , cat                     , shape                 , cat                               , shape
c3_s1_0014_6459_963 , bird__cat     , cat          , bird       ,       6459,      963,   0.7, cat                , shape            , cat                , shape            , cat                     , shape                 , cat                               , shape
c3_s1_0017_2434_5929, bird__cat     , cat          , bird       ,       2434,     5929,   0.7, bird               , texture          , cat                , shape            , cat                     , shape                 , cat                               , shape
c3_s1_0018_5976_7217, bird__cat     , cat          , bird       ,       5976,     7217,   0.7, cat                , shape            , cat                , shape            , cat                     , shape                 , cat                               , shape
c3_s1_0019_5551_5830, bird__cat     , cat          , bird       ,       5551,     5830,   0.7, bird               , texture          , cat                , shape            , cat                     , shape                 , cat                               , shape
c3_s1_0020_4858_3834, bird__cat     , cat          , bird       ,       4858,     3834,   0.7, cat                , shape            , cat                , shape            , cat                     , shape                 , cat                               , shape
c3_s1_0022_6459_3223, bird__cat     , cat          , bird       ,       6459,     3223,   0.7, cat                , shape            , cat                , shape            , cat                     , shape                 , cat                               , shape
c3_s1_0023_1187_1218, bird__cat     , cat          , bird       ,       1187,     1218,   0.7, bird               , texture          , cat                , shape            , cat                     , shape                 , cat                               , shape
c3_s1_0024_2480_3223, bird__cat     , cat          , bird       ,       2480,     3223,   0.7, cat                , shape            , cat                , shape            , cat                     , shape                 , cat                               , shape
c2_s4_0001_6053_6441, car__deer     , car          , deer       ,       6053,     6441,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s4_0002_6981_6122, car__deer     , car          , deer       ,       6981,     6122,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s4_0003_3944_3078, car__deer     , car          , deer       ,       3944,     3078,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s4_0004_7327_1694, car__deer     , car          , deer       ,       7327,     1694,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s4_0005_6347_490 , car__deer     , car          , deer       ,       6347,      490,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s4_0006_5577_1223, car__deer     , car          , deer       ,       5577,     1223,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s4_0008_7843_1223, car__deer     , car          , deer       ,       7843,     1223,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s4_0009_2252_4262, car__deer     , car          , deer       ,       2252,     4262,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s4_0010_7711_321 , car__deer     , car          , deer       ,       7711,      321,   0.7, horse              , other            , car                , shape            , car                     , shape                 , car                               , shape
c2_s4_0011_6053_4616, car__deer     , car          , deer       ,       6053,     4616,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s4_0012_5484_6122, car__deer     , car          , deer       ,       5484,     6122,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s4_0013_7392_1223, car__deer     , car          , deer       ,       7392,     1223,   0.7, deer               , texture          , car                , shape            , car                     , shape                 , car                               , shape
c2_s4_0016_3067_650 , car__deer     , car          , deer       ,       3067,      650,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s4_0017_4316_3012, car__deer     , car          , deer       ,       4316,     3012,   0.7, horse              , other            , car                , shape            , car                     , shape                 , car                               , shape
c2_s4_0018_6216_1669, car__deer     , car          , deer       ,       6216,     1669,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s4_0019_1059_2875, car__deer     , car          , deer       ,       1059,     2875,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s4_0020_88_3444  , car__deer     , car          , deer       ,         88,     3444,   0.7, truck              , other            , bird               , other            , truck                   , other                 , car                               , shape
c2_s4_0021_6053_490 , car__deer     , car          , deer       ,       6053,      490,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s4_0022_4440_7728, car__deer     , car          , deer       ,       4440,     7728,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c2_s4_0024_3067_4616, car__deer     , car          , deer       ,       3067,     4616,   0.7, car                , shape            , car                , shape            , car                     , shape                 , car                               , shape
c4_s2_0002_6587_2915, car__deer     , deer         , car        ,       6587,     2915,   0.7, bird               , other            , deer               , shape            , bird                    , other                 , deer                              , shape
c4_s2_0003_321_6683 , car__deer     , deer         , car        ,        321,     6683,   0.7, deer               , shape            , deer               , shape            , monkey                  , other                 , deer                              , shape
c4_s2_0004_5765_5663, car__deer     , deer         , car        ,       5765,     5663,   0.7, bird               , other            , deer               , shape            , dog                     , other                 , deer                              , shape
c4_s2_0005_7910_6548, car__deer     , deer         , car        ,       7910,     6548,   0.7, deer               , shape            , deer               , shape            , deer                    , shape                 , deer                              , shape
c4_s2_0006_1550_1731, car__deer     , deer         , car        ,       1550,     1731,   0.7, deer               , shape            , deer               , shape            , deer                    , shape                 , deer                              , shape
c4_s2_0007_1694_3641, car__deer     , deer         , car        ,       1694,     3641,   0.7, bird               , other            , airplane           , other            , deer                    , shape                 , bird                              , other
c4_s2_0008_4089_4605, car__deer     , deer         , car        ,       4089,     4605,   0.7, bird               , other            , bird               , other            , bird                    , other                 , bird                              , other
c4_s2_0009_650_517  , car__deer     , deer         , car        ,        650,      517,   0.7, ship               , other            , airplane           , other            , airplane                , other                 , ship                              , other
c4_s2_0010_4616_1731, car__deer     , deer         , car        ,       4616,     1731,   0.7, deer               , shape            , deer               , shape            , deer                    , shape                 , deer                              , shape
c4_s2_0011_5708_1750, car__deer     , deer         , car        ,       5708,     1750,   0.7, horse              , other            , deer               , shape            , cat                     , other                 , deer                              , shape
c4_s2_0013_4006_1731, car__deer     , deer         , car        ,       4006,     1731,   0.7, deer               , shape            , deer               , shape            , cat                     , other                 , deer                              , shape
c4_s2_0014_7910_6053, car__deer     , deer         , car        ,       7910,     6053,   0.7, deer               , shape            , deer               , shape            , deer                    , shape                 , deer                              , shape
c4_s2_0015_1209_7711, car__deer     , deer         , car        ,       1209,     7711,   0.7, deer               , shape            , deer               , shape            , deer                    , shape                 , deer                              , shape
c4_s2_0016_2021_1750, car__deer     , deer         , car        ,       2021,     1750,   0.7, bird               , other            , bird               , other            , dog                     , other                 , deer                              , shape
c4_s2_0017_4155_7327, car__deer     , deer         , car        ,       4155,     7327,   0.7, deer               , shape            , deer               , shape            , deer                    , shape                 , deer                              , shape
c4_s2_0018_1550_2611, car__deer     , deer         , car        ,       1550,     2611,   0.7, deer               , shape            , deer               , shape            , deer                    , shape                 , deer                              , shape
c4_s2_0019_3928_332 , car__deer     , deer         , car        ,       3928,      332,   0.7, deer               , shape            , deer               , shape            , bird                    , other                 , bird                              , other
c4_s2_0020_4155_5177, car__deer     , deer         , car        ,       4155,     5177,   0.7, deer               , shape            , deer               , shape            , deer                    , shape                 , deer                              , shape
c4_s2_0021_7910_2915, car__deer     , deer         , car        ,       7910,     2915,   0.7, deer               , shape            , deer               , shape            , deer                    , shape                 , deer                              , shape
c4_s2_0023_4616_313 , car__deer     , deer         , car        ,       4616,      313,   0.7, deer               , shape            , deer               , shape            , deer                    , shape                 , deer                              , shape
c7_s9_0000_6149_7921, monkey__truck , monkey       , truck      ,       6149,     7921,   0.7, ship               , other            , airplane           , other            , truck                   , texture               , bird                              , other
c7_s9_0001_7769_1163, monkey__truck , monkey       , truck      ,       7769,     1163,   0.7, bird               , other            , monkey             , shape            , bird                    , other                 , bird                              , other
c7_s9_0002_680_7705 , monkey__truck , monkey       , truck      ,        680,     7705,   0.7, horse              , other            , monkey             , shape            , monkey                  , shape                 , monkey                            , shape
c7_s9_0004_2581_3200, monkey__truck , monkey       , truck      ,       2581,     3200,   0.7, bird               , other            , monkey             , shape            , monkey                  , shape                 , monkey                            , shape
c7_s9_0005_2207_852 , monkey__truck , monkey       , truck      ,       2207,      852,   0.7, deer               , other            , monkey             , shape            , monkey                  , shape                 , monkey                            , shape
c7_s9_0006_7695_1163, monkey__truck , monkey       , truck      ,       7695,     1163,   0.7, monkey             , shape            , monkey             , shape            , monkey                  , shape                 , monkey                            , shape
c7_s9_0007_2982_7671, monkey__truck , monkey       , truck      ,       2982,     7671,   0.7, truck              , texture          , monkey             , shape            , truck                   , texture               , horse                             , other
c7_s9_0008_7505_852 , monkey__truck , monkey       , truck      ,       7505,      852,   0.7, monkey             , shape            , monkey             , shape            , bird                    , other                 , bird                              , other
c7_s9_0009_2581_7671, monkey__truck , monkey       , truck      ,       2581,     7671,   0.7, truck              , texture          , truck              , texture          , cat                     , other                 , monkey                            , shape
c7_s9_0011_1473_7767, monkey__truck , monkey       , truck      ,       1473,     7767,   0.7, monkey             , shape            , monkey             , shape            , monkey                  , shape                 , monkey                            , shape
c7_s9_0012_230_7767 , monkey__truck , monkey       , truck      ,        230,     7767,   0.7, monkey             , shape            , monkey             , shape            , monkey                  , shape                 , monkey                            , shape
c7_s9_0014_1656_7701, monkey__truck , monkey       , truck      ,       1656,     7701,   0.7, monkey             , shape            , monkey             , shape            , monkey                  , shape                 , monkey                            , shape
c7_s9_0015_1122_3103, monkey__truck , monkey       , truck      ,       1122,     3103,   0.7, deer               , other            , cat                , other            , airplane                , other                 , truck                             , texture
c7_s9_0016_1224_1522, monkey__truck , monkey       , truck      ,       1224,     1522,   0.7, monkey             , shape            , monkey             , shape            , monkey                  , shape                 , bird                              , other
c7_s9_0017_2787_3249, monkey__truck , monkey       , truck      ,       2787,     3249,   0.7, monkey             , shape            , monkey             , shape            , monkey                  , shape                 , monkey                            , shape
c7_s9_0018_5535_243 , monkey__truck , monkey       , truck      ,       5535,      243,   0.7, airplane           , other            , airplane           , other            , truck                   , texture               , monkey                            , shape
c7_s9_0019_2581_243 , monkey__truck , monkey       , truck      ,       2581,      243,   0.7, horse              , other            , monkey             , shape            , monkey                  , shape                 , monkey                            , shape
c7_s9_0020_6225_7049, monkey__truck , monkey       , truck      ,       6225,     7049,   0.7, bird               , other            , monkey             , shape            , monkey                  , shape                 , bird                              , other
c7_s9_0021_6840_4049, monkey__truck , monkey       , truck      ,       6840,     4049,   0.7, ship               , other            , monkey             , shape            , truck                   , texture               , truck                             , texture
