method,conflict_id,content_class,style_class,decision,clean_prediction_is_content,texture_rank_clean,texture_rank_conflict,texture_prob_clean,texture_prob_conflict,shape_prob_clean,shape_prob_conflict
resnet50,c1_s2_0001_225_5577,bird,car,shape,True,10,9,1.4219483546185074e-06,0.0001653858198551461,0.9992043375968933,0.8087195754051208
resnet50,c1_s2_0002_6022_7711,bird,car,shape,True,10,10,9.074533977582178e-07,8.290642654174007e-06,0.9996365308761597,0.9975122213363647
resnet50,c1_s2_0003_5546_6683,bird,car,shape,True,9,8,3.858795480482513e-06,0.00011484908463899046,0.9997531771659851,0.9916977882385254
resnet50,c1_s2_0004_5240_2436,bird,car,shape,True,9,6,3.040689080080483e-06,1.2865756389146554e-06,0.999479353427887,0.999962568283081
resnet50,c1_s2_0006_7066_3067,bird,car,shape,True,8,9,0.00015236595936585218,2.4920843770814827e-06,0.9972175359725952,0.9989603757858276
resnet50,c1_s2_0007_1428_5463,bird,car,shape,True,9,10,1.410855247740983e-06,1.4710143148022325e-07,0.9998512268066406,0.9999779462814331
resnet50,c1_s2_0009_2988_7327,bird,car,shape,True,8,10,7.223346074169967e-06,6.141235786571997e-08,0.9997574687004089,0.9998979568481445
resnet50,c1_s2_0010_5093_2909,bird,car,shape,True,9,10,8.263009658548981e-05,2.578482281023753e-07,0.989983320236206,0.9998922348022461
resnet50,c1_s2_0011_1740_1179,bird,car,shape,True,9,10,5.29112412550603e-06,5.47863201063592e-05,0.9992116689682007,0.9880431890487671
resnet50,c1_s2_0012_6014_6548,bird,car,shape,True,9,7,2.3355681832981645e-07,5.679832975147292e-05,0.9999597072601318,0.9984583854675293
resnet50,c1_s2_0014_5425_6548,bird,car,other,True,9,6,2.8172364636702696e-06,0.006718452554196119,0.9996229410171509,0.03927580639719963
resnet50,c1_s2_0015_5929_2252,bird,car,shape,True,10,10,2.797483205085882e-07,1.635589069337584e-05,0.9999303817749023,0.9854171872138977
resnet50,c1_s2_0016_3537_6795,bird,car,shape,True,7,8,2.4233400836237706e-05,1.19509388696315e-06,0.999576985836029,0.999661922454834
resnet50,c1_s2_0017_2673_313,bird,car,shape,True,9,8,4.4728212742484175e-06,1.7111677152570337e-05,0.999811589717865,0.9736565351486206
resnet50,c1_s2_0018_3530_2611,bird,car,shape,True,9,10,1.0942581866402179e-05,7.879413601585838e-07,0.9995355606079102,0.9998058676719666
resnet50,c1_s2_0019_275_6548,bird,car,other,True,10,5,0.00014082322013564408,0.0023052373435348272,0.9939242005348206,0.1583242118358612
resnet50,c1_s2_0021_5093_6738,bird,car,shape,True,9,9,8.263009658548981e-05,2.562274659112518e-08,0.989983320236206,0.9999815225601196
resnet50,c1_s2_0022_275_2915,bird,car,shape,True,10,7,0.00014082322013564408,0.0003386830212548375,0.9939242005348206,0.9772396087646484
resnet50,c1_s2_0024_225_4316,bird,car,shape,True,10,9,1.4219483546185074e-06,4.5024350470157515e-07,0.9992043375968933,0.9990634322166443
resnet50,c2_s1_0000_7392_3588,car,bird,shape,True,9,8,2.7919157219002955e-05,0.009867459535598755,0.9980716109275818,0.45069050788879395
resnet50,c2_s1_0001_5011_5929,car,bird,shape,True,8,7,9.082399628823623e-06,0.00039697493775747716,0.9994171857833862,0.9902950525283813
resnet50,c2_s1_0002_6216_4733,car,bird,shape,True,7,5,2.671991751412861e-05,0.004391133785247803,0.9992015957832336,0.8478932976722717
resnet50,c2_s1_0004_2436_1302,car,bird,texture,True,5,1,6.425718311220407e-05,0.3771675229072571,0.997503936290741,0.34201377630233765
resnet50,c2_s1_0005_2611_5425,car,bird,shape,True,9,4,8.474240894429386e-05,0.001585731515660882,0.9879218935966492,0.7768656015396118
resnet50,c2_s1_0006_2392_3161,car,bird,shape,True,4,8,7.180130342021585e-05,0.00020040228264406323,0.9986532926559448,0.996493399143219
resnet50,c2_s1_0007_1731_4709,car,bird,texture,True,10,1,3.6881397136312444e-06,0.8058468103408813,0.999570906162262,0.09697141498327255
resnet50,c2_s1_0008_1179_6938,car,bird,shape,True,8,2,0.0004900901112705469,0.20546308159828186,0.9807029962539673,0.7311058044433594
resnet50,c2_s1_0009_6548_1428,car,bird,shape,True,10,2,5.215680357650854e-05,0.011311361566185951,0.9872481226921082,0.9662985801696777
resnet50,c2_s1_0010_1731_6498,car,bird,shape,True,10,10,3.6881397136312444e-06,0.00011828774586319923,0.999570906162262,0.5460785627365112
resnet50,c2_s1_0012_4605_7066,car,bird,shape,True,7,3,1.7175943867187016e-05,0.005904837045818567,0.9995874762535095,0.961205005645752
resnet50,c2_s1_0013_1179_3588,car,bird,shape,True,8,5,0.0004900901112705469,0.020146017894148827,0.9807029962539673,0.7632570862770081
resnet50,c2_s1_0014_2503_3530,car,bird,other,True,6,3,0.0009040393051691353,0.0064769405871629715,0.9836745262145996,0.002455937210470438
resnet50,c2_s1_0015_5577_5093,car,bird,shape,True,7,4,1.6739393686293624e-05,0.006371320690959692,0.9994639754295349,0.9547339081764221
resnet50,c2_s1_0016_6981_3254,car,bird,shape,True,7,7,2.7187539672013372e-05,0.00032566211302764714,0.999541163444519,0.995452344417572
resnet50,c2_s1_0018_3067_3834,car,bird,shape,True,5,2,0.0006708853179588914,0.030277738347649574,0.9931220412254333,0.9541457295417786
resnet50,c2_s1_0019_6738_1081,car,bird,shape,True,6,2,3.3659245673334226e-05,0.1783221811056137,0.9993594288825989,0.6550685167312622
resnet50,c2_s1_0022_2611_7066,car,bird,shape,True,9,3,8.474240894429386e-05,0.08727463334798813,0.9879218935966492,0.759627103805542
resnet50,c2_s1_0023_5004_3161,car,bird,shape,True,9,2,1.0943410416075494e-05,0.00015618684119544923,0.9997151494026184,0.9994576573371887
resnet50,c2_s1_0024_1179_6072,car,bird,shape,True,8,2,0.0004900901112705469,0.1449742615222931,0.9807029962539673,0.56758052110672
resnet50,c1_s3_0001_6938_6094,bird,cat,shape,True,2,3,0.0002322674117749557,4.0426733903586864e-05,0.9992080330848694,0.9998693466186523
resnet50,c1_s3_0002_4733_3375,bird,cat,shape,True,2,2,0.058463893830776215,0.0008048518211580813,0.7940190434455872,0.9987159967422485
resnet50,c1_s3_0003_3388_3375,bird,cat,shape,True,3,4,7.633026689291e-05,5.7081600971287116e-05,0.9996711015701294,0.9997442364692688
resnet50,c1_s3_0004_5425_897,bird,cat,other,True,7,2,4.924958830088144e-06,0.12363997846841812,0.9996229410171509,0.030688120052218437
resnet50,c1_s3_0005_3223_2785,bird,cat,shape,True,4,8,0.0006753724301233888,3.501087849144824e-05,0.9948843121528625,0.999006450176239
resnet50,c1_s3_0006_1081_1563,bird,cat,shape,False,1,2,0.698964536190033,0.012769780121743679,0.3004142642021179,0.9831275939941406
resnet50,c1_s3_0007_6068_6459,bird,cat,shape,True,4,5,0.0009709059959277511,0.00022072122374083847,0.9953243732452393,0.9900463223457336
resnet50,c1_s3_0008_1491_6094,bird,cat,shape,True,8,4,0.00014845204714220017,0.0040461476892232895,0.9960005879402161,0.9638994932174683
resnet50,c1_s3_0009_1353_1531,bird,cat,shape,True,2,3,0.07640853524208069,0.00997235905379057,0.802504301071167,0.96240234375
resnet50,c1_s3_0010_4709_1622,bird,cat,shape,True,3,4,0.0013938836054876447,2.333296652068384e-05,0.9932377338409424,0.9998477697372437
resnet50,c1_s3_0011_5830_6385,bird,cat,shape,True,8,8,1.2960181265952997e-05,2.39700682413968e-07,0.9995583891868591,0.9999568462371826
resnet50,c1_s3_0013_5394_5294,bird,cat,shape,True,4,2,3.7369318306446075e-05,0.00015424114826600999,0.9998327493667603,0.9997058510780334
resnet50,c1_s3_0014_4361_6632,bird,cat,other,True,5,3,0.0008375137695111334,0.017983658239245415,0.9451504349708557,0.016848323866724968
resnet50,c1_s3_0015_5122_1968,bird,cat,shape,True,2,2,0.00013394313282333314,0.0002793283201754093,0.999509334564209,0.9995518326759338
resnet50,c1_s3_0016_3161_1968,bird,cat,shape,True,4,3,1.7747270248946734e-05,4.0447186620440334e-05,0.9996402263641357,0.9995569586753845
resnet50,c1_s3_0019_7066_874,bird,cat,shape,True,5,4,0.00023752755078021437,0.0017951849149540067,0.9972175359725952,0.7976887822151184
resnet50,c1_s3_0020_3144_4184,bird,cat,shape,True,4,3,0.030405404046177864,7.022084173513576e-05,0.8063724040985107,0.9997637867927551
resnet50,c1_s3_0021_2988_3202,bird,cat,shape,True,6,5,1.9613828044384718e-05,1.038307982526021e-05,0.9997574687004089,0.9997389912605286
resnet50,c1_s3_0022_6022_6575,bird,cat,shape,True,5,3,2.4778108127065934e-05,0.0004934034077450633,0.9996365308761597,0.9961726069450378
resnet50,c1_s3_0024_6498_6324,bird,cat,other,True,5,4,0.010194550268352032,0.022387513890862465,0.8859375715255737,0.1155145987868309
resnet50,c3_s1_0000_1563_6938,cat,bird,other,True,6,2,0.0024995175190269947,0.20947688817977905,0.9221372604370117,0.18527068197727203
resnet50,c3_s1_0001_3202_6938,cat,bird,shape,True,7,5,1.3380285054154228e-05,0.00015609902038704604,0.9996044039726257,0.99543696641922
resnet50,c3_s1_0002_5522_6498,cat,bird,shape,True,3,4,1.817807242332492e-05,0.0008951631025411189,0.9999524354934692,0.9638519883155823
resnet50,c3_s1_0004_589_1302,cat,bird,texture,True,3,1,0.0007146830903366208,0.9935559630393982,0.9960150122642517,0.0004516356566455215
resnet50,c3_s1_0006_6385_2988,cat,bird,shape,True,2,2,0.00039397977525368333,0.0033816432114690542,0.9989577531814575,0.9961796998977661
resnet50,c3_s1_0007_4858_6498,cat,bird,shape,True,5,3,2.6200272259302437e-05,3.2489679142599925e-05,0.9997645020484924,0.9998388290405273
resnet50,c3_s1_0008_6324_1302,cat,bird,shape,True,3,2,0.0037728184834122658,0.0311428252607584,0.9857080578804016,0.9377278089523315
resnet50,c3_s1_0009_6826_6498,cat,bird,shape,True,4,3,0.00015856650134082884,0.015849411487579346,0.999057948589325,0.923186719417572
resnet50,c3_s1_0010_2785_6068,cat,bird,other,True,6,5,3.439985675868229e-06,0.0025370335206389427,0.8358624577522278,0.05850311368703842
resnet50,c3_s1_0011_3375_225,cat,bird,shape,True,6,2,0.00013684526493307203,0.23947681486606598,0.956903338432312,0.484809935092926
resnet50,c3_s1_0012_4856_6880,cat,bird,other,True,7,3,3.114630260370177e-07,0.003392786020413041,0.9996623992919922,0.2840491831302643
resnet50,c3_s1_0013_5294_4733,cat,bird,shape,True,6,2,2.9441374863381498e-05,0.33878615498542786,0.9986131191253662,0.529653012752533
resnet50,c3_s1_0014_6459_963,cat,bird,shape,True,3,3,0.0006301032262854278,0.008435570634901524,0.9970499277114868,0.9431304931640625
resnet50,c3_s1_0017_2434_5929,cat,bird,texture,True,3,1,0.0028996604960411787,0.9783431887626648,0.9822418689727783,0.021471945568919182
resnet50,c3_s1_0018_5976_7217,cat,bird,shape,True,2,2,0.0009350719046778977,0.18325765430927277,0.9982360601425171,0.8145808577537537
resnet50,c3_s1_0019_5551_5830,cat,bird,texture,True,2,1,0.00025586734409444034,0.9999065399169922,0.9991751313209534,2.979752025566995e-05
resnet50,c3_s1_0020_4858_3834,cat,bird,shape,True,5,2,2.6200272259302437e-05,0.0025043634232133627,0.9997645020484924,0.9974128603935242
resnet50,c3_s1_0022_6459_3223,cat,bird,shape,True,3,2,0.0006301032262854278,0.0011402425589039922,0.9970499277114868,0.9973543882369995
resnet50,c3_s1_0023_1187_1218,cat,bird,texture,True,6,1,1.6402306073359796e-06,0.9641349911689758,0.9964845180511475,0.013018280267715454
resnet50,c3_s1_0024_2480_3223,cat,bird,shape,True,5,5,3.336496592964977e-05,0.00011536157398950309,0.9991194605827332,0.9963909983634949
resnet50,c2_s4_0001_6053_6441,car,deer,shape,True,8,6,1.197767869598465e-05,0.0013141853269189596,0.9579891562461853,0.986354649066925
resnet50,c2_s4_0002_6981_6122,car,deer,shape,True,9,4,1.4983987966843415e-05,0.0005721822381019592,0.999541163444519,0.9962776303291321
resnet50,c2_s4_0003_3944_3078,car,deer,shape,True,10,4,9.504894114797935e-05,0.017291689291596413,0.8480120301246643,0.5724509358406067
resnet50,c2_s4_0004_7327_1694,car,deer,shape,True,8,4,4.604714922606945e-05,0.002780806738883257,0.9982409477233887,0.9729782938957214
resnet50,c2_s4_0005_6347_490,car,deer,shape,True,8,5,9.017408592626452e-05,0.002349145244807005,0.9983647465705872,0.9818809032440186
resnet50,c2_s4_0006_5577_1223,car,deer,shape,True,5,2,6.282019603531808e-05,0.02116420492529869,0.9994639754295349,0.9579742550849915
resnet50,c2_s4_0008_7843_1223,car,deer,shape,True,5,4,2.6349232939537615e-05,0.009595442563295364,0.9996966123580933,0.941493034362793
resnet50,c2_s4_0009_2252_4262,car,deer,shape,True,5,4,1.9122644516755827e-05,0.0003174841112922877,0.9997826218605042,0.9977912902832031
resnet50,c2_s4_0010_7711_321,car,deer,other,True,7,3,2.4044369638431817e-05,0.11762480437755585,0.9994555115699768,0.2735428512096405
resnet50,c2_s4_0011_6053_4616,car,deer,shape,True,8,6,1.197767869598465e-05,0.0024981778115034103,0.9579891562461853,0.8819357752799988
resnet50,c2_s4_0012_5484_6122,car,deer,shape,True,10,3,0.00012354394129943103,0.03807424008846283,0.9946861267089844,0.7021631598472595
resnet50,c2_s4_0013_7392_1223,car,deer,texture,True,3,1,0.000626869557891041,0.6479880809783936,0.9980716109275818,0.16304078698158264
resnet50,c2_s4_0016_3067_650,car,deer,shape,True,10,7,0.00021313807519618422,0.0014992005890235305,0.9931220412254333,0.9757364392280579
resnet50,c2_s4_0017_4316_3012,car,deer,other,True,9,3,1.3580763152276631e-05,0.02961340919137001,0.9991720914840698,0.06103742495179176
resnet50,c2_s4_0018_6216_1669,car,deer,shape,True,6,3,5.230328315519728e-05,0.002547459676861763,0.9992015957832336,0.9881682991981506
resnet50,c2_s4_0019_1059_2875,car,deer,shape,True,8,8,7.456227194779785e-06,0.002874530153349042,0.9995598196983337,0.8910099864006042
resnet50,c2_s4_0020_88_3444,car,deer,other,False,3,2,0.002776841167360544,0.35089945793151855,0.001974718878045678,0.0009366685408167541
resnet50,c2_s4_0021_6053_490,car,deer,shape,True,8,6,1.197767869598465e-05,0.002740305382758379,0.9579891562461853,0.9706048965454102
resnet50,c2_s4_0022_4440_7728,car,deer,shape,True,6,4,5.6842418416636065e-06,0.00022243383864406496,0.9999059438705444,0.9970928430557251
resnet50,c2_s4_0024_3067_4616,car,deer,shape,True,10,3,0.00021313807519618422,0.0057914662174880505,0.9931220412254333,0.96077960729599
resnet50,c4_s2_0002_6587_2915,deer,car,other,True,9,9,0.00012868664634879678,7.152328180382028e-06,0.9943034648895264,0.06122783198952675
resnet50,c4_s2_0003_321_6683,deer,car,shape,True,10,10,9.664764365879819e-05,1.1215739732506336e-06,0.9769966006278992,0.9953773021697998
resnet50,c4_s2_0004_5765_5663,deer,car,other,True,8,9,2.6054991394630633e-05,0.0001461122155888006,0.9965085387229919,0.014500564895570278
resnet50,c4_s2_0005_7910_6548,deer,car,shape,True,9,6,0.00047254335368052125,0.00023412250448018312,0.9690677523612976,0.9461480379104614
resnet50,c4_s2_0006_1550_1731,deer,car,shape,True,10,6,0.00022126230760477483,1.4375748833117541e-05,0.9875044226646423,0.9976122379302979
resnet50,c4_s2_0007_1694_3641,deer,car,other,True,10,6,0.00018170096154790372,0.001234728842973709,0.9920036196708679,0.017194556072354317
resnet50,c4_s2_0008_4089_4605,deer,car,other,True,8,9,0.001692584133706987,0.00014639405708294362,0.9619056582450867,0.07954099029302597
resnet50,c4_s2_0009_650_517,deer,car,other,False,9,4,1.0620673492667265e-05,0.07840833067893982,0.019262852147221565,0.010387763381004333
resnet50,c4_s2_0010_4616_1731,deer,car,shape,True,6,9,0.00016002595657482743,1.5372752386610955e-06,0.7231912016868591,0.9921829104423523
resnet50,c4_s2_0011_5708_1750,deer,car,other,True,10,9,0.00018793964409269392,0.00024965565535239875,0.9398851990699768,0.13606877624988556
resnet50,c4_s2_0013_4006_1731,deer,car,shape,True,8,6,8.980334678199142e-05,0.0002865293645299971,0.976488471031189,0.924922525882721
resnet50,c4_s2_0014_7910_6053,deer,car,shape,True,9,9,0.00047254335368052125,1.8566433936939575e-06,0.9690677523612976,0.81829434633255
resnet50,c4_s2_0015_1209_7711,deer,car,shape,True,8,10,0.000371883885236457,3.198293052264489e-05,0.9930201172828674,0.9955582618713379
resnet50,c4_s2_0016_2021_1750,deer,car,other,True,8,7,0.00012465327745303512,0.0005190791562199593,0.9651153683662415,0.0037949581164866686
resnet50,c4_s2_0017_4155_7327,deer,car,shape,True,10,7,3.660660240711877e-06,3.7258501834003255e-05,0.9992002844810486,0.9524733424186707
resnet50,c4_s2_0018_1550_2611,deer,car,shape,True,10,9,0.00022126230760477483,1.6602354662609287e-05,0.9875044226646423,0.9955497980117798
resnet50,c4_s2_0019_3928_332,deer,car,shape,True,5,10,0.00024281279183924198,1.7641757949604653e-05,0.8476523756980896,0.9016534090042114
resnet50,c4_s2_0020_4155_5177,deer,car,shape,True,10,6,3.660660240711877e-06,0.0015974510461091995,0.9992002844810486,0.9195235371589661
resnet50,c4_s2_0021_7910_2915,deer,car,shape,True,9,9,0.00047254335368052125,1.4144145552563714e-06,0.9690677523612976,0.9929117560386658
resnet50,c4_s2_0023_4616_313,deer,car,shape,True,6,8,0.00016002595657482743,2.8504699002951384e-05,0.7231912016868591,0.985373854637146
resnet50,c7_s9_0000_6149_7921,monkey,truck,other,True,8,2,0.0002959905250463635,0.22074678540229797,0.9949866533279419,0.002368684159591794
resnet50,c7_s9_0001_7769_1163,monkey,truck,other,True,6,7,0.0017416536575183272,0.00011017165525117889,0.981723427772522,0.003923360724002123
resnet50,c7_s9_0002_680_7705,monkey,truck,other,True,9,8,1.9226297808927484e-05,8.841362432576716e-05,0.9983262419700623,0.001642392249777913
resnet50,c7_s9_0004_2581_3200,monkey,truck,other,True,10,9,0.0003965368086937815,7.775453559588641e-05,0.9783412218093872,0.015623175539076328
resnet50,c7_s9_0005_2207_852,monkey,truck,other,True,7,9,3.8795682485215366e-05,0.0001218352117575705,0.9966155886650085,0.31559309363365173
resnet50,c7_s9_0006_7695_1163,monkey,truck,shape,True,10,10,5.687032899004407e-05,2.8940719857928343e-05,0.9968212842941284,0.9745126962661743
resnet50,c7_s9_0007_2982_7671,monkey,truck,texture,True,7,1,0.0011112620122730732,0.7482473850250244,0.9874362945556641,0.0009320190874859691
resnet50,c7_s9_0008_7505_852,monkey,truck,shape,True,4,9,0.00014854548498988152,0.0019961351063102484,0.9983445405960083,0.7998884916305542
resnet50,c7_s9_0009_2581_7671,monkey,truck,texture,True,10,1,0.0003965368086937815,0.4516657292842865,0.9783412218093872,0.0005749521078541875
resnet50,c7_s9_0011_1473_7767,monkey,truck,shape,True,10,10,0.0005627476493827999,7.266845841513714e-06,0.985547661781311,0.995635449886322
resnet50,c7_s9_0012_230_7767,monkey,truck,shape,True,10,6,6.501750613097101e-05,0.016469806432724,0.9984971284866333,0.34284016489982605
resnet50,c7_s9_0014_1656_7701,monkey,truck,shape,True,6,6,0.0002419001393718645,0.00025116337928920984,0.9977040886878967,0.9945104122161865
resnet50,c7_s9_0015_1122_3103,monkey,truck,other,True,9,7,1.4667000868939795e-05,0.00422482006251812,0.9829869270324707,0.0060689812526106834
resnet50,c7_s9_0016_1224_1522,monkey,truck,shape,True,7,8,0.0005784492823295295,0.0005298174219205976,0.9924696087837219,0.9336755275726318
resnet50,c7_s9_0017_2787_3249,monkey,truck,shape,True,8,9,5.4224456107476726e-05,0.0002179725852329284,0.9989206790924072,0.9906310439109802
resnet50,c7_s9_0018_5535_243,monkey,truck,other,True,10,3,3.9209085116453934e-06,0.15765538811683655,0.9991344809532166,0.019441375508904457
resnet50,c7_s9_0019_2581_243,monkey,truck,other,True,10,8,0.0003965368086937815,0.005189437419176102,0.9783412218093872,0.03043449856340885
resnet50,c7_s9_0020_6225_7049,monkey,truck,other,True,9,9,0.00013504253001883626,0.0006944126216694713,0.9966172575950623,0.046304598450660706
resnet50,c7_s9_0021_6840_4049,monkey,truck,other,True,8,2,8.66454211063683e-05,0.35536569356918335,0.9880479574203491,0.00027190722175873816
resnet50,c7_s9_0022_864_2674,monkey,truck,other,True,10,2,0.00014616496628150344,0.09199927747249603,0.9935981035232544,0.0007382753537967801
resnet50,c9_s7_0001_852_680,truck,monkey,shape,True,9,5,7.681063289055601e-05,0.010749625973403454,0.9976038336753845,0.5611695051193237
resnet50,c9_s7_0002_3428_2207,truck,monkey,shape,True,5,10,0.00047290619113482535,1.7110358385252766e-05,0.992229163646698,0.9376004338264465
resnet50,c9_s7_0003_7147_2982,truck,monkey,shape,True,10,9,6.455133552663028e-05,5.587272426055279e-06,0.9982511401176453,0.9930728077888489
resnet50,c9_s7_0004_7330_5697,truck,monkey,shape,True,6,10,0.00019626348512247205,6.131139525678009e-05,0.9792996048927307,0.9656406044960022
resnet50,c9_s7_0005_5211_4773,truck,monkey,shape,True,9,8,3.2305504191754153e-06,0.0001655433006817475,0.9983976483345032,0.9748445153236389
resnet50,c9_s7_0006_4956_5535,truck,monkey,other,True,6,5,0.00020652422972489148,0.036364223808050156,0.9967725872993469,0.00373748317360878
resnet50,c9_s7_0007_6496_4951,truck,monkey,shape,True,7,7,0.00017081543046515435,0.00020383768423926085,0.9976527094841003,0.9356119632720947
resnet50,c9_s7_0008_3249_6374,truck,monkey,other,False,7,7,0.00041880286880768836,0.0072608995251357555,0.0730389803647995,0.02257237210869789
resnet50,c9_s7_0009_4049_6322,truck,monkey,other,True,7,8,0.00010409670358058065,0.0007706350297667086,0.9976934790611267,0.13875234127044678
